DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county
TN060000001,TN,47,37821,82,2018-08-20,0,2018,35.963208,-83.18733075,299.24247117975,470299206004007,470299206004,47029
NC049000002,NC,37,28655,67,2018-11-15,0,2018,35.753489,-81.675063,1094.397198,370230206001007,370230206001,37023
NJ002002083,NJ,34,07103,80,2018-06-27,0,2018,40.745332,-74.178365,1050.096688,340130010001008,340130010001,34013
TN017000001,TN,47,37087,76,2018-06-27,0,2018,36.264774599999996,-86.348527,11235.3071034,471890301051005,471890301051,47189
PA001000022,PA,42,15210,54,2018-09-19,0,2018,40.420067,-79.97941633333333,18114.325653333333,420031706002000,420031706002,42003
TN012000001,TN,47,37766,84,2018-08-27,0,2018,36.37926025,-84.11905725,32.5128171725,470139507022009,470139507022,47013
TN024000001,TN,47,37388,53,2018-06-07,0,2018,35.3708992,-86.21409919999999,3875.2649532,470319708012036,470319708012,47031
TN065000001,TN,47,37801,84,2018-08-09,0,2018,35.755754,-83.971202,58.81370889,470090106001031,470090106001,47009
PA001000039,PA,42,15206,37,2018-08-20,0,2018,40.46323671428571,-79.93415942857142,16488.02954,420030807001006,420030807001,42003
NJ002002845,NJ,34,07103,88,2018-06-26,0,2018,40.730724333333335,-74.18802633333333,2260.7070646666666,340130062002002,340130062002,34013
UT004000405,UT,49,84116,88,2018-07-18,0,2018,40.762674249999996,-111.9045175,39480.49233,490351025022002,490351025022,49035
FL066000080,FL,12,33016,61,2018-08-08,0,2018,25.88199475,-80.33138325,140615.44547500001,120860135003000,120860135003,12086
GA175000007,GA,13,31079,81,2018-08-29,0,2018,31.949766,-83.445292,29605.40941,133159604002039,133159604002,13315
TN047000001,TN,47,38474,57,2018-06-25,0,2018,35.550816,-87.189732,23714.00268,471190110041041,471190110041,47119
AL001000001,AL,01,35204,54,2018-08-08,0,2018,33.5096034,-86.8397164,29798.944856,010730030023000,010730030023,01073
AL001000018,AL,01,35211,67,2018-09-06,0,2018,33.453908,-86.881123,30896.777486,010730131001007,010730131001,01073
